sensor_type,timestamp,nis
R,1477010443050000,74.5452
L,1477010443100000,0.464081
R,1477010443150000,1.78043
L,1477010443200000,0.292534
R,1477010443250000,4.92002
L,1477010443300000,0.238485
R,1477010443350000,7.19049
L,1477010443400000,0.00532615
R,1477010443450000,0.525747
L,1477010443500000,1.10744
R,1477010443550000,1.43787
L,1477010443600000,2.18042
R,1477010443650000,4.05902
L,1477010443700000,0.35484
R,1477010443750000,2.11241
L,1477010443800000,12.8056
R,1477010443850000,2.31652
L,1477010443900000,2.39768
R,1477010443950000,1.58474
L,1477010444000000,1.52745
R,1477010444050000,4.10602
L,1477010444100000,3.98562
R,1477010444150000,0.982418
L,1477010444200000,0.368044
R,1477010444250000,4.16139
L,1477010444300000,3.66593
R,1477010444350000,3.33093
L,1477010444400000,0.616068
R,1477010444450000,3.05952
L,1477010444500000,0.758919
R,1477010444550000,6.39991
L,1477010444600000,1.16
R,1477010444650000,6.34744
L,1477010444700000,0.93396
R,1477010444750000,4.45792
L,1477010444800000,3.53372
R,1477010444850000,5.00011
L,1477010444900000,1.7442
R,1477010444950000,5.1653
L,1477010445000000,1.50537
R,1477010445050000,1.32572
L,1477010445100000,1.28244
R,1477010445150000,1.42192
L,1477010445200000,0.746958
R,1477010445250000,1.11003
L,1477010445300000,0.634305
R,1477010445350000,0.743009
L,1477010445400000,4.45892
R,1477010445450000,3.47565
L,1477010445500000,3.71566
R,1477010445550000,12.7663
L,1477010445600000,0.803836
R,1477010445650000,0.72068
L,1477010445700000,1.45763
R,1477010445750000,0.887723
L,1477010445800000,2.32776
R,1477010445850000,4.23861
L,1477010445900000,2.75682
R,1477010445950000,3.14303
L,1477010446000000,2.10132
R,1477010446050000,0.661196
L,1477010446100000,0.340627
R,1477010446150000,2.22289
L,1477010446200000,1.64174
R,1477010446250000,0.46843
L,1477010446300000,1.18234
R,1477010446350000,6.63442
L,1477010446400000,2.30216
R,1477010446450000,2.23684
L,1477010446500000,0.88824
R,1477010446550000,4.24349
L,1477010446600000,0.73469
R,1477010446650000,3.02015
L,1477010446700000,0.151516
R,1477010446750000,1.15765
L,1477010446800000,1.49655
R,1477010446850000,1.08748
L,1477010446900000,2.56349
R,1477010446950000,0.0534006
L,1477010447000000,3.20591
R,1477010447050000,6.40806
L,1477010447100000,1.33202
R,1477010447150000,0.483601
L,1477010447200000,2.94549
R,1477010447250000,2.87255
L,1477010447300000,7.1934
R,1477010447350000,1.48729
L,1477010447400000,4.26232
R,1477010447450000,1.73606
L,1477010447500000,1.93955
R,1477010447550000,4.32488
L,1477010447600000,0.250896
R,1477010447650000,6.49898
L,1477010447700000,0.152626
R,1477010447750000,4.42162
L,1477010447800000,0.600108
R,1477010447850000,4.73082
L,1477010447900000,0.338039
R,1477010447950000,13.9915
L,1477010448000000,3.1216
R,1477010448050000,3.23667
L,1477010448100000,0.549822
R,1477010448150000,5.31814
L,1477010448200000,1.05201
R,1477010448250000,2.62253
L,1477010448300000,2.38386
R,1477010448350000,1.70095
L,1477010448400000,0.473658
R,1477010448450000,1.74844
L,1477010448500000,0.0240715
R,1477010448550000,1.95549
L,1477010448600000,1.64939
R,1477010448650000,3.54443
L,1477010448700000,1.78399
R,1477010448750000,10.0541
L,1477010448800000,3.71477
R,1477010448850000,1.77739
L,1477010448900000,0.264941
